lead_id,team_name,user_name,user_email,customer_name,customer_email,customer_phone,customer_cpf,source,subject,lead_created_at,first_interaction_at,negotiation_importance,negotiation_stage,negotiation_status,is_open,negotiation_created_at,negotiation_updated_at,finalization_reason
1,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 1,cliente_1@provedor.com.br,11938960812,93187445543,WhatsApp,Interesse no Produto Ref: 9630,2025-09-19 00:49:35,2025-09-19 01:09:35,quente,Contato inicial,Aberto,TRUE,2025-09-19 00:49:35,2025-09-24 01:09:35,
2,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 2,cliente_2@provedor.com.br,11999187531,55240878677,WhatsApp,Interesse no Produto Ref: 4504,2025-10-18 03:31:35,2025-10-18 07:00:35,frio,Aguardando resposta do cliente,Finalizado com venda,FALSE,2025-10-18 03:31:35,2025-10-24 07:00:35,Sucesso / Venda Concluída
3,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 3,cliente_3@provedor.com.br,11980665987,11752757065,Mercado Livre,Interesse no Produto Ref: 8419,2025-09-25 02:18:35,2025-09-25 02:43:35,morno,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-09-25 02:18:35,2025-10-09 02:43:35,Preço
4,Equipe Caçapava,Consultor 13,consultor13@empresa.com.br,Cliente Exemplo 4,cliente_4@provedor.com.br,11947219439,94422833654,Indicação,Interesse no Produto Ref: 4587,2025-03-31 12:35:35,2025-03-31 16:55:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-03-31 12:35:35,2025-03-31 16:55:35,
5,Equipe Caçapava,Consultor 09,consultor9@empresa.com.br,Cliente Exemplo 5,cliente_5@provedor.com.br,11982878112,61345576245,Instagram,Interesse no Produto Ref: 5809,2025-04-07 23:49:35,2025-04-08 04:11:35,morno,Enviou proposta,Finalizado com venda,FALSE,2025-04-07 23:49:35,2025-04-15 04:11:35,Sucesso / Venda Concluída
6,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 6,cliente_6@provedor.com.br,11930453215,48754560317,Loja Física,Interesse no Produto Ref: 3537,2025-08-24 10:02:35,2025-08-24 10:46:35,frio,Aguardando pagamento,Aberto,TRUE,2025-08-24 10:02:35,2025-08-26 10:46:35,
7,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 7,cliente_7@provedor.com.br,11991917850,02563564803,Indicação,Interesse no Produto Ref: 7663,2025-12-26 22:18:35,2025-12-27 00:18:35,morno,Contato inicial,Aberto,TRUE,2025-12-26 22:18:35,2025-12-30 00:18:35,
8,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 8,cliente_8@provedor.com.br,11909694104,58425122325,Instagram,Interesse no Produto Ref: 4752,2025-04-08 22:09:35,2025-04-09 01:10:35,frio,Teste drive,Aberto,TRUE,2025-04-08 22:09:35,2025-04-16 01:10:35,
9,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 9,cliente_9@provedor.com.br,11916970161,92187064746,Indicação,Interesse no Produto Ref: 7249,2025-11-07 01:56:35,2025-11-07 04:04:35,quente,Aguardando resposta do cliente,Em negociação,TRUE,2025-11-07 01:56:35,2025-11-12 04:04:35,
10,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 10,cliente_10@provedor.com.br,11906879083,00095481318,Loja Física,Interesse no Produto Ref: 3363,2025-03-31 08:50:35,2025-03-31 13:28:35,morno,Teste drive,Aberto,TRUE,2025-03-31 08:50:35,2025-04-03 13:28:35,
